OID_,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_t,parent_sta
,1084, ,Malabia, ,-34.599048473000003,-58.439674973400003,0, ,1,0
,1085, ,Medrano, ,-34.603139517499997,-58.421303182800003,0, ,1,0
,1086, ,Carlos Gardel, ,-34.604103190700002,-58.411704897900002,0, ,1,0
,1087, ,Pueyrredón, ,-34.604613170599997,-58.405234068699997,0, ,1,0
,1088, ,Pasteur, ,-34.604623105700000,-58.399357348599999,0, ,1,0
,1089, ,Callao, ,-34.604457527699999,-58.392845615799999,0, ,1,0
,1090, ,Uruguay, ,-34.604046341900002,-58.387106359000001,0, ,1,0
,1091, ,Carlos Pellegrini, ,-34.603701386099999,-58.381378501599997,0, ,1,0
,1092, ,Florida, ,-34.603301786400003,-58.374534845299998,0, ,1,0
,1093, ,Leandro N. Alem, ,-34.602967313400001,-58.369956314500001,0, ,1,0
,1094, ,Constitución, ,-34.627276542899999,-58.381431475200003,0, ,1,0
,1095, ,San Juan, ,-34.622676270600003,-58.379951566499997,0, ,1,0
,1096, ,Independencia, ,-34.618060292400003,-58.380236216000000,0, ,1,0
,1097, ,Moreno, ,-34.612434686100002,-58.380517847900002,0, ,1,0
,1098, ,Avenida de Mayo, ,-34.608990925800001,-58.380681462699997,0, ,1,0
,1099, ,Diagonal Norte, ,-34.604795306800000,-58.379235416500002,0, ,1,0
,1114, ,Facultad de Medicina, ,-34.599719656799998,-58.397433534299999,0, ,1,0
,1115, ,Callao, ,-34.599602642000001,-58.392240107100001,0, ,1,0
,1116, ,Tribunales, ,-34.601770705200003,-58.384459018699999,0, ,1,0
,1117, ,9 de Julio, ,-34.604348245600001,-58.380351886299998,0, ,1,0
,1118, ,Catedral, ,-34.607624420999997,-58.374257236699997,0, ,1,0
,1119, ,Bolívar, ,-34.609575380800003,-58.374049365499999,0, ,1,0
,1120, ,Belgrano, ,-34.613410392399999,-58.378220200400001,0, ,1,0
,1121, ,Independencia, ,-34.618001797399998,-58.380904421099999,0, ,1,0
,1122, ,San José, ,-34.622367261100003,-58.385392427500001,0, ,1,0
,1123, ,Entre Ríos, ,-34.622759595700003,-58.391514569400002,0, ,1,0
,1124, ,Pichincha, ,-34.623133717899996,-58.397111669200001,0, ,1,0
,1125, ,Jujuy, ,-34.623878646999998,-58.402829468299998,0, ,1,0
